Strategy,Type,bdd10k,bdd10k_gain,iddaw,iddaw_gain,mapillaryvistas,mapillaryvistas_gain,outside15k,outside15k_gain
gen_UniControl,Generative,47.22,+4.94,38.10,+5.17,33.01,+6.37,40.45,+7.60
gen_Img2Img,Generative,46.85,+4.57,38.13,+5.20,32.93,+6.28,40.37,+7.52
gen_Attribute_Hallucination,Generative,46.70,+4.42,37.74,+4.81,32.91,+6.26,40.90,+8.04
gen_Qwen_Image_Edit,Generative,46.36,+4.08,37.82,+4.89,32.88,+6.23,40.89,+8.03
gen_stargan_v2,Generative,46.55,+4.27,37.68,+4.75,32.71,+6.07,41.00,+8.14
gen_CNetSeg,Generative,46.59,+4.31,37.70,+4.77,32.87,+6.22,40.77,+7.92
gen_augmenters,Generative,46.13,+3.85,37.75,+4.82,32.87,+6.22,40.98,+8.12
gen_IP2P,Generative,46.28,+4.00,37.81,+4.88,32.88,+6.23,40.67,+7.82
std_randaugment,Standard Aug,46.16,+3.88,37.74,+4.81,32.83,+6.18,40.89,+8.04
gen_cyclediffusion,Generative,46.06,+3.78,38.04,+5.11,32.68,+6.03,40.63,+7.78
gen_automold,Generative,46.07,+3.79,37.81,+4.89,32.90,+6.25,40.59,+7.74
std_mixup,Standard Aug,46.37,+4.09,37.74,+4.81,32.83,+6.18,40.43,+7.57
gen_VisualCloze,Generative,45.74,+3.46,38.03,+5.10,32.94,+6.29,40.48,+7.62
gen_Weather_Effect_Generator,Generative,45.82,+3.54,37.59,+4.66,33.04,+6.39,40.52,+7.67
gen_CUT,Generative,45.98,+3.70,37.74,+4.81,32.68,+6.03,40.57,+7.71
std_autoaugment,Standard Aug,46.38,+4.10,36.94,+4.01,32.82,+6.17,40.75,+7.89
std_cutmix,Standard Aug,46.28,+3.99,37.06,+4.13,32.90,+6.25,40.51,+7.66
gen_flux_kontext,Generative,44.53,+2.25,37.80,+4.88,32.98,+6.33,40.86,+8.00
gen_step1x_new,Generative,44.70,+2.42,37.87,+4.94,32.94,+6.29,40.44,+7.59
gen_SUSTechGAN,Generative,44.84,+2.56,37.84,+4.91,32.77,+6.12,40.44,+7.58
gen_albumentations_weather,Generative,45.01,+2.73,37.71,+4.78,32.76,+6.11,40.39,+7.54
gen_TSIT,Generative,46.56,+4.28,37.71,+4.78,30.09,+3.44,40.68,+7.83
gen_LANIT,Generative,44.56,+2.28,36.89,+3.96,32.88,+6.23,40.66,+7.81
gen_cycleGAN,Generative,43.27,+0.99,37.85,+4.92,32.90,+6.25,40.61,+7.76
gen_step1x_v1p2,Generative,43.03,+0.75,37.77,+4.84,32.85,+6.20,40.53,+7.68
baseline,Baseline,42.28,+0.00,32.93,+0.00,26.65,+0.00,32.85,+0.00
