Strategy,Type,mIoU,Std,Gain,Normal mIoU,Adverse mIoU,Domain Gap,Num Tests
gen_flux_kontext,Generative,46.31,6.11,4.66,46.33,42.71,3.62,24
gen_step1x_new,Generative,45.78,9.16,4.14,46.28,40.51,5.78,12
gen_step1x_v1p2,Generative,45.42,9.05,3.78,45.89,40.19,5.7,12
gen_Qwen_Image_Edit,Generative,45.27,8.27,3.63,45.91,40.41,5.51,12
gen_cycleGAN,Generative,43.52,6.19,1.88,43.45,36.95,6.5,52
gen_Attribute_Hallucination,Generative,43.17,6.67,1.53,43.94,37.7,6.25,12
std_autoaugment,Standard Aug,42.93,6.82,1.29,43.96,37.79,6.17,10
std_mixup,Standard Aug,42.87,6.54,1.23,43.55,37.39,6.15,12
gen_automold,Generative,42.84,6.99,1.2,43.58,37.29,6.29,12
gen_stargan_v2,Generative,42.84,6.81,1.2,43.27,35.35,7.93,25
gen_CNetSeg,Generative,42.78,7.05,1.14,43.58,37.62,5.95,12
gen_albumentations_weather,Generative,42.77,7.1,1.12,43.5,37.45,6.06,12
gen_IP2P,Generative,42.72,7.04,1.08,43.39,37.11,6.28,12
gen_SUSTechGAN,Generative,42.7,6.78,1.06,43.24,37.37,5.86,12
gen_CUT,Generative,42.66,6.83,1.02,43.34,37.36,5.98,12
gen_Img2Img,Generative,42.64,6.7,1.0,43.49,37.28,6.21,12
std_cutmix,Standard Aug,42.63,7.11,0.99,43.31,37.14,6.17,12
gen_TSIT,Generative,42.56,7.29,0.92,43.19,36.81,6.38,12
gen_VisualCloze,Generative,42.54,6.53,0.9,43.25,37.12,6.13,12
gen_Weather_Effect_Generator,Generative,42.51,7.12,0.87,43.19,36.54,6.65,11
gen_UniControl,Generative,42.49,6.92,0.85,43.16,37.57,5.6,12
std_randaugment,Standard Aug,42.36,7.0,0.72,43.11,36.92,6.19,11
gen_LANIT,Generative,42.32,7.06,0.68,43.02,36.52,6.5,12
gen_augmenters,Generative,42.27,6.73,0.63,43.15,36.91,6.24,12
photometric_distort,Augmentation,41.83,7.67,0.19,42.65,36.72,5.93,11
baseline,Baseline,41.64,6.98,,42.22,36.08,6.14,12
gen_cyclediffusion,Generative,40.83,5.68,-0.81,41.4,31.41,9.98,19
